stock_id,warehouse_id,product_id,quantity
ST000130,WH003,P03105,113
ST000131,WH001,P03199,118
ST000132,WH005,P03728,37
ST000133,WH005,P03466,82
ST000134,WH009,P03987,102
ST000135,WH003,P01556,134
ST000136,WH005,P01784,79
ST000137,WH001,P04745,146
ST000138,WH009,P00500,42
ST000139,WH006,P00469,103
ST000140,WH001,P04786,95
ST000141,WH008,P04120,24
ST000142,WH009,P01290,97
ST000143,WH001,P04161,70
ST000144,WH002,P01523,170
ST000145,WH002,P04875,79
ST000146,WH002,P01927,117
ST000147,WH007,P00983,38
ST000148,WH010,P02017,111
ST000149,WH010,P04871,79
ST000150,WH001,P00672,61
ST000151,WH007,P04782,241
ST000152,WH010,P04283,82
ST000153,WH006,P02137,89
ST000154,WH004,P02574,145
ST000155,WH004,P02176,61
ST000156,WH007,P01073,120
ST000157,WH005,P03746,125
ST000158,WH006,P00595,112
ST000159,WH001,P03755,214
ST000160,WH010,P04613,59
ST000161,WH002,P00601,176
ST000162,WH009,P01747,123
ST000163,WH009,P02173,145
ST000164,WH003,P02860,117
ST000165,WH002,P02002,193
ST000166,WH006,P02335,83
ST000167,WH003,P03590,124
ST000168,WH009,P02479,165
ST000169,WH010,P04334,72
ST000170,WH001,P04544,150
ST000171,WH005,P00849,99
ST000172,WH003,P02167,38
ST000173,WH002,P00877,27
ST000174,WH009,P01274,95
ST000175,WH005,P02309,149
ST000176,WH010,P01726,0
ST000177,WH006,P01668,110
ST000178,WH005,P04141,144
ST000179,WH008,P02058,36
ST000180,WH001,P00757,68
ST000181,WH007,P02267,128
ST000182,WH001,P00030,142
ST000183,WH006,P01072,180
ST000184,WH005,P01324,70
ST000185,WH008,P04520,59
ST000186,WH007,P04595,182
ST000187,WH002,P01222,125
ST000188,WH009,P00296,209
ST000189,WH006,P04772,137
ST000190,WH009,P01214,139
ST000191,WH007,P01045,163
ST000192,WH001,P02526,126
ST000193,WH006,P00327,139
ST000194,WH006,P01721,82
ST000195,WH004,P00843,157
ST000196,WH006,P04587,120
ST000197,WH007,P01267,26
ST000198,WH004,P01332,112
ST000199,WH003,P03378,0
ST000200,WH001,P01470,135
ST000201,WH006,P03373,88
ST000202,WH004,P02186,195
ST000203,WH003,P00886,124
ST000204,WH007,P00318,146
ST000205,WH008,P01823,47
ST000206,WH004,P03771,134
ST000207,WH006,P02501,67
ST000208,WH004,P01827,154
ST000209,WH001,P01583,44
ST000210,WH007,P02690,105
ST000211,WH005,P00569,42
ST000212,WH005,P02877,106
ST000213,WH009,P03275,201
ST000214,WH009,P02713,136
ST000215,WH001,P00945,98
ST000216,WH005,P01463,0
ST000217,WH010,P02175,73
ST000218,WH001,P00889,123
ST000219,WH010,P03560,74
ST000220,WH006,P02570,171
ST000221,WH007,P04967,103
ST000222,WH009,P00948,153
ST000223,WH007,P04724,110
ST000224,WH004,P02087,86
ST000225,WH001,P03573,76
ST000226,WH001,P04260,49
ST000227,WH009,P01615,154
ST000228,WH006,P03534,78
ST000229,WH002,P02705,126
ST000230,WH010,P02572,73
ST000231,WH002,P02461,45
ST000232,WH009,P02534,127
ST000233,WH007,P02673,62
ST000234,WH007,P02423,79
ST000235,WH009,P01043,37
ST000236,WH004,P03445,75
ST000237,WH007,P01426,101
ST000238,WH010,P04663,85
ST000239,WH005,P03327,140
ST000240,WH009,P00004,107
ST000241,WH005,P02351,254
ST000242,WH004,P03522,121
ST000243,WH010,P04970,13
ST000244,WH006,P03810,89
ST000245,WH008,P03623,93
ST000246,WH004,P04188,69
ST000247,WH008,P01391,103
ST000248,WH002,P02325,67
ST000249,WH009,P02746,116
ST000250,WH002,P01925,4
ST000251,WH005,P01841,157
ST000252,WH004,P01208,21
ST000253,WH001,P00379,86
ST000254,WH004,P03893,63
ST000255,WH010,P00597,115
ST000256,WH008,P03396,90
ST000257,WH010,P01593,112
ST000258,WH007,P04050,155
ST000259,WH007,P01999,138
ST000260,WH003,P00046,101
ST000261,WH002,P03483,122
ST000262,WH004,P01441,198
ST000263,WH009,P03806,140
ST000264,WH001,P04567,85
ST000265,WH004,P00995,163
ST000266,WH008,P01093,119
ST000267,WH008,P04352,51
ST000268,WH009,P04878,90
ST000269,WH006,P03626,26
ST000270,WH010,P04136,0
ST000271,WH007,P04489,52
ST000272,WH008,P01304,106
ST000273,WH008,P03687,106
ST000274,WH005,P02026,29
ST000275,WH005,P04271,0
ST000276,WH008,P01960,173
ST000277,WH005,P03604,104
ST000278,WH002,P02341,177
ST000279,WH004,P02226,174
ST000280,WH006,P02620,136
ST000281,WH009,P00661,102
ST000282,WH003,P01236,80
ST000283,WH004,P03138,135
ST000284,WH003,P01753,92
ST000285,WH002,P03399,70
ST000286,WH007,P02711,0
ST000287,WH009,P03817,95
ST000288,WH007,P00511,154
ST000289,WH004,P03442,162
ST000290,WH007,P04785,102
ST000291,WH001,P04717,55
ST000292,WH007,P03908,145
ST000293,WH001,P02882,99
ST000294,WH005,P03195,81
ST000295,WH007,P04410,27
ST000296,WH009,P04942,205
ST000297,WH004,P04000,136
ST000298,WH004,P02236,142
ST000299,WH001,P03186,103
ST000300,WH006,P03313,95
ST000301,WH003,P03829,139
ST000302,WH001,P03228,28
ST000303,WH010,P04624,46
ST000304,WH001,P00688,132
ST000305,WH007,P01112,74
ST000306,WH008,P01489,140
ST000307,WH001,P02132,81
ST000308,WH007,P02682,37
ST000309,WH004,P03725,12
ST000310,WH006,P02765,124
ST000311,WH007,P02280,125
ST000312,WH007,P02067,148
ST000313,WH002,P03853,116
ST000314,WH001,P04419,0
ST000315,WH001,P02867,125
ST000316,WH004,P00563,27
ST000317,WH001,P00255,6
ST000318,WH004,P01634,0
ST000319,WH001,P01249,0
ST000320,WH004,P01035,113
ST000321,WH008,P00938,63
ST000322,WH010,P01786,24
ST000323,WH008,P02100,101
ST000324,WH006,P01375,44
ST000325,WH010,P04975,149
ST000326,WH002,P01342,172
ST000327,WH005,P00886,89
ST000328,WH010,P00211,168
ST000329,WH005,P04717,168
ST000330,WH007,P03250,104
ST000331,WH004,P00623,186
ST000332,WH010,P01990,68
ST000333,WH002,P02471,2
ST000334,WH010,P00992,22
ST000335,WH010,P00337,66
ST000336,WH006,P04365,126
ST000337,WH007,P03036,42
ST000338,WH002,P04145,66
ST000339,WH006,P00104,37
ST000340,WH007,P04016,67
ST000341,WH002,P03552,167
ST000342,WH006,P03767,117
ST000343,WH003,P03568,71
ST000344,WH003,P04275,161
ST000345,WH005,P04409,101
ST000346,WH008,P03809,106
ST000347,WH007,P04854,157
ST000348,WH005,P02641,82
ST000349,WH004,P00710,145
ST000350,WH005,P03693,142
ST000351,WH004,P03807,92
ST000352,WH010,P05000,30
ST000353,WH007,P02756,100
ST000354,WH001,P04050,156
ST000355,WH006,P01490,140
ST000356,WH008,P01738,185
ST000357,WH006,P02117,75
ST000358,WH006,P02291,138
ST000359,WH010,P02264,49
ST000360,WH009,P00084,110
ST000361,WH009,P01566,155
ST000362,WH002,P01978,145
ST000363,WH007,P04003,105
ST000364,WH009,P01969,86
ST000365,WH008,P04021,50
ST000366,WH008,P00142,88
ST000367,WH002,P02411,34
ST000368,WH004,P03313,82
ST000369,WH004,P02509,9
ST000370,WH010,P03024,34
ST000371,WH008,P04535,142
ST000372,WH009,P02817,137
ST000373,WH007,P04509,85
ST000374,WH006,P02883,103
ST000375,WH008,P02220,109
ST000376,WH005,P02060,123
ST000377,WH004,P00989,117
ST000378,WH004,P02585,33
ST000379,WH002,P04390,0
ST000380,WH003,P01570,49
ST000381,WH004,P03967,92
ST000382,WH005,P04830,148
ST000383,WH009,P04889,111
ST000384,WH005,P00824,126
ST000385,WH004,P02427,55
ST000386,WH004,P02957,96
ST000387,WH003,P02477,103
ST000388,WH001,P04376,62
ST000389,WH003,P02248,46
ST000390,WH001,P00447,88
ST000391,WH009,P02394,133
ST000392,WH003,P04022,54
ST000393,WH002,P00101,89
ST000394,WH010,P02330,167
ST000395,WH008,P03922,74
ST000396,WH008,P02792,100
ST000397,WH003,P00421,94
ST000398,WH005,P03914,90
ST000399,WH002,P00536,183
ST000400,WH007,P04029,115
ST000401,WH002,P04727,21
ST000402,WH001,P01243,176
ST000403,WH003,P04611,113
ST000404,WH005,P00698,81
ST000405,WH004,P00971,167
ST000406,WH009,P03410,61
ST000407,WH010,P04884,185
ST000408,WH010,P01849,104
ST000409,WH009,P03117,150
ST000410,WH008,P03627,253
ST000411,WH005,P04822,109
ST000412,WH007,P02502,95
ST000413,WH010,P00494,46
ST000414,WH010,P00813,93
ST000415,WH004,P01729,48
ST000416,WH005,P00666,90
ST000417,WH003,P01965,244
ST000418,WH003,P04522,105
ST000419,WH002,P01283,72
ST000420,WH001,P03347,89
ST000421,WH008,P04865,79
ST000422,WH008,P02386,152
ST000423,WH001,P01897,95
ST000424,WH005,P02317,180
ST000425,WH008,P00584,84
ST000426,WH004,P02168,87
ST000427,WH010,P01621,55
ST000428,WH007,P00941,80
ST000429,WH009,P01842,13
ST000430,WH003,P02177,0
ST000431,WH003,P00585,131
ST000432,WH001,P01360,12
ST000433,WH005,P04875,120
ST000434,WH010,P02365,74
ST000435,WH008,P01019,146
ST000436,WH008,P02492,13
ST000437,WH007,P02231,129
ST000438,WH009,P04424,116
ST000439,WH008,P03587,118
ST000440,WH002,P04900,156
ST000441,WH001,P03540,103
ST000442,WH005,P00212,122
ST000443,WH002,P01876,115
ST000444,WH010,P04810,87
ST000445,WH001,P02208,57
ST000446,WH010,P00330,81
ST000447,WH003,P03855,172
ST000448,WH009,P03623,54
ST000449,WH005,P01487,12
ST000450,WH010,P03571,26
ST000451,WH008,P00748,98
ST000452,WH008,P02851,183
ST000453,WH007,P02731,210
ST000454,WH006,P00857,132
ST000455,WH003,P02702,50
ST000456,WH007,P04059,56
ST000457,WH005,P03281,143
ST000458,WH009,P00301,166
ST000459,WH008,P00722,67
ST000460,WH006,P02068,171
ST000461,WH006,P00950,88
ST000462,WH007,P04216,135
ST000463,WH001,P04445,157
ST000464,WH008,P03386,25
ST000465,WH001,P01537,122
ST000466,WH009,P02964,171
ST000467,WH010,P04084,71
ST000468,WH008,P00423,47
ST000469,WH009,P01074,106
ST000470,WH005,P03590,83
ST000471,WH008,P00995,99
ST000472,WH001,P04988,16
ST000473,WH004,P01298,120
ST000474,WH005,P04513,179
ST000475,WH001,P04525,64
ST000476,WH007,P00764,58
ST000477,WH004,P00930,108
ST000478,WH008,P00963,242
ST000479,WH003,P04083,154
ST000480,WH005,P04169,95
ST000481,WH005,P03404,101
ST000482,WH008,P03869,159
ST000483,WH004,P03742,54
ST000484,WH009,P01185,130
ST000485,WH007,P01562,44
ST000486,WH010,P04164,146
ST000487,WH003,P00572,85
ST000488,WH005,P03400,110
ST000489,WH006,P04160,82
ST000490,WH005,P00022,134
ST000491,WH005,P02446,91
ST000492,WH010,P04751,207
ST000493,WH008,P01218,170
ST000494,WH008,P04413,34
ST000495,WH008,P02828,109
ST000496,WH006,P04522,136
ST000497,WH009,P03091,77
ST000498,WH008,P02637,160
ST000499,WH004,P01957,154
ST000500,WH010,P03138,95
ST000501,WH004,P03366,149
ST000502,WH001,P02607,0
ST000503,WH008,P03124,167
ST000504,WH007,P01247,144
ST000505,WH008,P00304,45
ST000506,WH003,P04115,112
ST000507,WH010,P02720,0
ST000508,WH002,P03607,61
ST000509,WH002,P04309,154
ST000510,WH008,P00126,99
ST000511,WH003,P03359,96
ST000512,WH003,P00613,102
ST000513,WH008,P02172,96
ST000514,WH006,P03257,149
ST000515,WH002,P02692,69
ST000516,WH009,P03114,120
ST000517,WH006,P03998,42
ST000518,WH009,P00295,137
ST000519,WH010,P00561,83
ST000520,WH004,P02355,97
ST000521,WH004,P00741,81
ST000522,WH007,P00807,88
ST000523,WH002,P03635,49
ST000524,WH003,P02454,116
ST000525,WH001,P00377,127
ST000526,WH006,P00460,33
ST000527,WH005,P02937,70
ST000528,WH006,P03529,101
ST000529,WH003,P02001,70
ST000530,WH009,P03376,88
ST000531,WH010,P01476,180
ST000532,WH003,P01435,49
ST000533,WH002,P04993,0
ST000534,WH007,P01973,70
ST000535,WH008,P04778,83
ST000536,WH003,P01903,75
ST000537,WH008,P02081,113
ST000538,WH008,P02092,48
ST000539,WH001,P03812,41
ST000540,WH005,P04478,66
ST000541,WH003,P00606,67
ST000542,WH008,P02831,206
ST000543,WH010,P02451,177
ST000544,WH007,P02049,16
ST000545,WH008,P02475,3
ST000546,WH004,P03152,95
ST000547,WH008,P00874,195
ST000548,WH004,P03125,133
ST000549,WH010,P02941,98
ST000550,WH010,P02424,77
ST000551,WH005,P00180,153
ST000552,WH007,P02249,108
ST000553,WH001,P04637,186
ST000554,WH001,P04968,15
ST000555,WH008,P02345,121
ST000556,WH004,P04974,71
ST000557,WH006,P01795,120
ST000558,WH004,P02054,112
ST000559,WH003,P00796,125
ST000560,WH001,P02531,148
ST000561,WH008,P00274,169
ST000562,WH010,P02989,197
ST000563,WH003,P00739,100
ST000564,WH005,P02677,72
ST000565,WH007,P01439,38
ST000566,WH004,P01083,121
ST000567,WH009,P02998,141
ST000568,WH009,P04111,32
ST000569,WH005,P01348,157
ST000570,WH005,P03948,94
ST000571,WH005,P02775,37
ST000572,WH002,P03837,57
ST000573,WH002,P01154,52
ST000574,WH004,P03256,53
ST000575,WH009,P02997,128
ST000576,WH002,P03233,143
ST000577,WH001,P02167,184
ST000578,WH009,P01013,65
ST000579,WH008,P03020,117
ST000580,WH007,P03044,101
ST000581,WH002,P01916,25
ST000582,WH008,P00206,43
ST000583,WH010,P04600,140
ST000584,WH006,P04998,25
ST000585,WH004,P00518,130
ST000586,WH008,P02476,66
ST000587,WH007,P00956,3
ST000588,WH003,P00372,0
ST000589,WH001,P02494,173
ST000590,WH008,P00952,4
ST000591,WH002,P01924,96
ST000592,WH009,P01112,117
ST000593,WH007,P03717,34
ST000594,WH006,P04426,72
ST000595,WH007,P04812,123
ST000596,WH003,P03399,114
ST000597,WH002,P04009,76
ST000598,WH010,P03344,111
ST000599,WH005,P00269,94
ST000600,WH006,P01780,51
ST000601,WH008,P03643,160
ST000602,WH004,P02972,110
ST000603,WH002,P03010,7
ST000604,WH009,P02939,126
ST000605,WH001,P03262,69
ST000606,WH005,P01555,85
ST000607,WH002,P03726,100
ST000608,WH002,P01738,60
ST000609,WH010,P00175,190
ST000610,WH001,P02733,25
ST000611,WH004,P01032,102
ST000612,WH010,P01682,119
ST000613,WH002,P04541,102
ST000614,WH004,P04804,90
ST000615,WH004,P01909,81
ST000616,WH006,P01209,59
ST000617,WH010,P00024,58
ST000618,WH005,P01186,157
ST000619,WH003,P04426,77
ST000620,WH005,P01430,206
ST000621,WH002,P00212,133
ST000622,WH003,P00122,0
ST000623,WH006,P01950,144
ST000624,WH010,P02653,97
ST000625,WH001,P01428,30
ST000626,WH005,P00430,165
ST000627,WH003,P03449,78
ST000628,WH009,P00932,73
ST000629,WH002,P03902,118
ST000630,WH008,P02966,157
ST000631,WH009,P04864,105
ST000632,WH002,P03703,102
ST000633,WH009,P01815,65
ST000634,WH010,P00356,156
ST000635,WH009,P02471,106
ST000636,WH008,P00256,88
ST000637,WH001,P03924,82
ST000638,WH007,P03493,151
ST000639,WH002,P04017,86
ST000640,WH008,P00603,151
ST000641,WH002,P02639,76
ST000642,WH010,P01216,136
ST000643,WH002,P01034,110
ST000644,WH005,P04796,52
ST000645,WH009,P02664,95
ST000646,WH007,P04894,0
ST000647,WH009,P02416,62
ST000648,WH008,P04142,21
ST000649,WH010,P03525,199
ST000650,WH002,P00938,21
ST000651,WH009,P01762,229
ST000652,WH007,P03700,125
ST000653,WH004,P03390,74
ST000654,WH006,P03716,140
ST000655,WH007,P03408,67
ST000656,WH002,P02561,29
ST000657,WH007,P02561,103
ST000658,WH005,P03067,135
ST000659,WH003,P03886,163
ST000660,WH002,P00748,124
ST000661,WH002,P00764,73
ST000662,WH007,P00792,169
ST000663,WH006,P01066,158
ST000664,WH009,P00492,113
ST000665,WH010,P04601,160
ST000666,WH009,P02701,209
ST000667,WH002,P03366,72
ST000668,WH006,P03465,55
ST000669,WH001,P02357,71
ST000670,WH010,P02560,32
ST000671,WH006,P00849,129
ST000672,WH010,P04157,19
ST000673,WH004,P01268,163
ST000674,WH008,P01838,66
ST000675,WH002,P02869,167
ST000676,WH009,P03012,0
ST000677,WH002,P02283,80
ST000678,WH010,P01853,35
ST000679,WH007,P04596,167
ST000680,WH010,P04561,183
ST000681,WH001,P04989,0
ST000682,WH005,P00238,143
ST000683,WH003,P02239,153
ST000684,WH005,P02784,116
ST000685,WH006,P00051,129
ST000686,WH003,P01174,125
ST000687,WH010,P03284,143
ST000688,WH002,P01163,45
ST000689,WH001,P00752,160
ST000690,WH009,P01763,110
ST000691,WH007,P03440,107
ST000692,WH008,P02793,128
ST000693,WH003,P03032,36
ST000694,WH005,P02658,22
ST000695,WH010,P04885,93
ST000696,WH002,P00431,177
ST000697,WH003,P01290,40
ST000698,WH010,P00408,108
ST000699,WH002,P02230,64
ST000700,WH008,P03474,57
ST000701,WH008,P04974,125
ST000702,WH008,P03393,137
ST000703,WH005,P01766,60
ST000704,WH009,P00933,169
ST000705,WH006,P03522,121
ST000706,WH002,P02321,87
ST000707,WH010,P03987,117
ST000708,WH009,P02527,201
ST000709,WH001,P01807,137
ST000710,WH007,P04910,65
ST000711,WH001,P00063,99
ST000712,WH004,P02470,106
ST000713,WH004,P01125,133
ST000714,WH005,P02372,111
ST000715,WH006,P00983,194
ST000716,WH001,P04075,88
ST000717,WH007,P01440,13
ST000718,WH003,P03115,110
ST000719,WH009,P04578,24
ST000720,WH006,P00591,64
ST000721,WH007,P00347,82
ST000722,WH007,P00154,156
ST000723,WH008,P00638,25
ST000724,WH006,P04717,117
ST000725,WH007,P04698,211
ST000726,WH007,P03422,91
ST000727,WH005,P00944,89
ST000728,WH007,P00171,135
ST000729,WH006,P01408,126
ST000730,WH010,P03770,170
ST000731,WH006,P00722,91
ST000732,WH007,P00868,135
ST000733,WH004,P03570,135
ST000734,WH010,P03281,83
ST000735,WH009,P00645,94
ST000736,WH007,P02542,99
ST000737,WH006,P01816,38
ST000738,WH006,P01378,80
ST000739,WH002,P04182,174
ST000740,WH002,P04347,151
ST000741,WH009,P01589,71
ST000742,WH006,P02877,99
ST000743,WH003,P01936,148
ST000744,WH002,P01200,122
ST000745,WH005,P01617,139
ST000746,WH003,P04935,126
ST000747,WH003,P00618,110
ST000748,WH003,P04048,91
ST000749,WH008,P04619,40
ST000750,WH010,P03678,134
ST000751,WH010,P02648,88
ST000752,WH006,P01237,17
ST000753,WH008,P00560,72
ST000754,WH005,P02251,4
ST000755,WH010,P00461,48
ST000756,WH006,P04157,106
ST000757,WH002,P02543,170
ST000758,WH008,P03703,149
ST000759,WH001,P00467,175
ST000760,WH006,P02352,110
ST000761,WH002,P00740,89
ST000762,WH010,P04867,142
ST000763,WH009,P03150,55
ST000764,WH008,P04755,51
ST000765,WH009,P00337,42
ST000766,WH008,P04684,154
ST000767,WH004,P02634,58
ST000768,WH010,P03897,150
ST000769,WH009,P01236,107
ST000770,WH001,P03691,155
ST000771,WH002,P02814,44
ST000772,WH002,P04134,68
ST000773,WH003,P00321,122
ST000774,WH004,P03587,78
ST000775,WH008,P04294,0
ST000776,WH009,P04996,31
ST000777,WH003,P02982,44
ST000778,WH006,P02318,48
ST000779,WH007,P03349,134
ST000780,WH006,P04898,116
ST000781,WH001,P02742,108
ST000782,WH002,P02701,200
ST000783,WH002,P04571,158
ST000784,WH007,P02328,140
ST000785,WH005,P04938,25
ST000786,WH003,P02731,102
ST000787,WH002,P04774,114
ST000788,WH003,P02866,79
ST000789,WH005,P03211,185
ST000790,WH003,P04875,102
ST000791,WH002,P02537,38
ST000792,WH009,P03086,50
ST000793,WH006,P01047,214
ST000794,WH009,P00766,78
ST000795,WH007,P04166,0
ST000796,WH006,P00150,70
ST000797,WH006,P02531,8
ST000798,WH003,P01755,145
ST000799,WH006,P03984,2
ST000800,WH004,P01856,29
ST000801,WH003,P01270,100
ST000802,WH002,P02424,155
ST000803,WH002,P04159,96
ST000804,WH009,P04314,37
ST000805,WH001,P02759,109
ST000806,WH010,P01074,76
ST000807,WH010,P03087,156
ST000808,WH003,P01330,142
ST000809,WH003,P01357,73
ST000810,WH008,P00358,138
ST000811,WH007,P02985,113
ST000812,WH004,P03639,168
ST000813,WH010,P02335,136
ST000814,WH008,P01917,127
ST000815,WH009,P01960,166
ST000816,WH005,P03843,100
ST000817,WH004,P03014,61
ST000818,WH010,P03610,110
ST000819,WH008,P02309,82
ST000820,WH007,P04120,130
ST000821,WH009,P03430,103
ST000822,WH003,P01636,120
ST000823,WH010,P01134,39
ST000824,WH005,P00428,125
ST000825,WH008,P03041,35
ST000826,WH009,P00841,148
ST000827,WH009,P01022,148
ST000828,WH005,P00688,117
ST000829,WH003,P02235,115
ST000830,WH008,P04206,88
ST000831,WH003,P03584,69
ST000832,WH002,P01819,99
ST000833,WH008,P02864,199
ST000834,WH001,P03399,111
ST000835,WH001,P03248,32
ST000836,WH009,P03064,14
ST000837,WH004,P03164,28
ST000838,WH002,P03072,81
ST000839,WH004,P00231,163
ST000840,WH006,P00812,48
ST000841,WH006,P01197,171
ST000842,WH003,P00314,108
ST000843,WH005,P03871,124
ST000844,WH003,P03843,122
ST000845,WH008,P00044,129
ST000846,WH002,P00156,79
ST000847,WH005,P01767,0
ST000848,WH003,P04496,70
ST000849,WH010,P04324,55
ST000850,WH007,P00911,115
ST000851,WH005,P01947,110
ST000852,WH005,P00999,86
ST000853,WH001,P01954,187
ST000854,WH007,P03745,67
ST000855,WH002,P00909,0
ST000856,WH008,P04889,105
ST000857,WH009,P00135,159
ST000858,WH009,P04711,114
ST000859,WH004,P01177,82
ST000860,WH005,P03517,112
ST000861,WH001,P02891,191
ST000862,WH004,P04675,56
ST000863,WH007,P01535,101
ST000864,WH002,P04289,133
ST000865,WH006,P00555,112
ST000866,WH009,P04458,87
ST000867,WH009,P04159,78
ST000868,WH009,P00167,85
ST000869,WH007,P03852,126
ST000870,WH001,P03170,123
ST000871,WH006,P02078,204
ST000872,WH001,P02926,23
ST000873,WH002,P02825,187
ST000874,WH004,P00850,89
ST000875,WH010,P02724,95
ST000876,WH003,P00364,142
ST000877,WH006,P04473,142
ST000878,WH006,P01435,157
ST000879,WH008,P03921,168
ST000880,WH003,P01105,98
ST000881,WH002,P03750,169
ST000882,WH001,P02404,68
ST000883,WH004,P00359,84
ST000884,WH004,P00344,90
ST000885,WH006,P02541,73
ST000886,WH009,P03263,102
ST000887,WH009,P03879,144
ST000888,WH005,P00300,132
ST000889,WH004,P02344,69
ST000890,WH006,P00392,65
ST000891,WH006,P02239,57
ST000892,WH002,P03015,104
ST000893,WH007,P03277,20
ST000894,WH008,P03168,55
ST000895,WH006,P01531,77
ST000896,WH008,P04076,152
ST000897,WH006,P04254,93
ST000898,WH005,P00677,150
ST000899,WH007,P00647,109
ST000900,WH007,P04936,76
ST000901,WH003,P04469,78
ST000902,WH005,P02632,41
ST000903,WH002,P00656,220
ST000904,WH006,P02422,155
ST000905,WH005,P03653,130
ST000906,WH010,P03491,34
ST000907,WH003,P03637,77
ST000908,WH006,P03663,51
ST000909,WH001,P02889,106
ST000910,WH010,P03564,53
ST000911,WH005,P00470,66
ST000912,WH002,P03328,54
ST000913,WH006,P04204,88
ST000914,WH003,P00256,103
ST000915,WH003,P04978,89
ST000916,WH008,P00286,176
ST000917,WH003,P00551,140
ST000918,WH004,P03001,60
ST000919,WH006,P03137,116
ST000920,WH010,P00266,64
ST000921,WH010,P01257,80
ST000922,WH008,P03039,123
ST000923,WH006,P03637,133
ST000924,WH002,P04702,70
ST000925,WH003,P04338,44
ST000926,WH006,P03261,104
ST000927,WH006,P02284,121
ST000928,WH001,P01525,140
ST000929,WH008,P04242,131
ST000930,WH007,P04602,67
