product_id,product_name,category_id,supplier_id,reorder_point,safety_stock
P00080,Begin 79,CA015,SUP117,38,10
P00081,Far 80,CA008,SUP160,40,14
P00082,Identify 81,CA014,SUP026,41,13
P00083,Certain 82,CA023,SUP124,21,18
P00084,Kind 83,CA040,SUP144,44,3
P00085,Decision 84,CA021,SUP025,44,14
P00086,Question 85,CA016,SUP054,16,2
P00087,Usually 86,CA045,SUP156,25,12
P00088,Subject 87,CA018,SUP073,44,6
P00089,Never 88,CA047,SUP120,23,2
P00090,Enjoy 89,CA024,SUP056,7,14
P00091,Professor 90,CA026,SUP065,22,9
P00092,Suffer 91,CA025,SUP093,23,7
P00093,Of 92,CA045,SUP086,10,18
P00094,Study 93,CA041,SUP080,20,13
P00095,After 94,CA029,SUP169,12,2
P00096,Idea 95,CA015,SUP108,22,4
P00097,Station 96,CA045,SUP179,47,15
P00098,Sell 97,CA001,SUP118,43,9
P00099,Her 98,CA025,SUP199,16,12
P00100,Media 99,CA007,SUP157,49,15
P00101,Off 100,CA009,SUP083,14,9
P00102,Station 101,CA024,SUP147,11,4
P00103,Memory 102,CA001,SUP194,5,8
P00104,Guy 103,CA044,SUP169,40,5
P00105,While 104,CA008,SUP173,25,17
P00106,Others 105,CA024,SUP015,41,14
P00107,Morning 106,CA011,SUP131,28,6
P00108,Fund 107,CA017,SUP139,29,6
P00109,Important 108,CA008,SUP181,11,5
P00110,Expect 109,CA035,SUP174,46,3
P00111,Couple 110,CA035,SUP030,21,14
P00112,Agree 111,CA033,SUP057,33,17
P00113,From 112,CA005,SUP146,34,3
P00114,Picture 113,CA042,SUP179,11,18
P00115,Discuss 114,CA039,SUP128,37,6
P00116,All 115,CA041,SUP048,11,19
P00117,War 116,CA028,SUP194,28,19
P00118,Talk 117,CA007,SUP136,15,9
P00119,Start 118,CA009,SUP022,13,16
P00120,Fast 119,CA008,SUP006,16,14
P00121,Article 120,CA012,SUP185,39,14
P00122,Table 121,CA034,SUP104,8,17
P00123,Marriage 122,CA033,SUP036,40,14
P00124,Next 123,CA048,SUP079,32,3
P00125,Help 124,CA023,SUP116,17,4
P00126,Speak 125,CA024,SUP057,27,16
P00127,Pattern 126,CA037,SUP049,23,14
P00128,Early 127,CA035,SUP173,46,6
P00129,Collection 128,CA044,SUP082,41,7
P00130,Black 129,CA040,SUP066,43,15
P00131,End 130,CA022,SUP077,28,5
P00132,Realize 131,CA027,SUP045,20,8
P00133,Effect 132,CA035,SUP079,37,5
P00134,Exactly 133,CA001,SUP020,16,3
P00135,None 134,CA035,SUP192,38,8
P00136,Team 135,CA037,SUP123,11,4
P00137,Strong 136,CA047,SUP067,15,16
P00138,Whose 137,CA014,SUP083,35,2
P00139,Since 138,CA003,SUP003,33,3
P00140,Arrive 139,CA001,SUP182,17,11
P00141,South 140,CA005,SUP064,35,17
P00142,Yourself 141,CA026,SUP040,6,16
P00143,Discuss 142,CA014,SUP059,43,16
P00144,Parent 143,CA039,SUP183,19,15
P00145,Throughout 144,CA027,SUP062,15,15
P00146,Subject 145,CA009,SUP132,38,7
P00147,Important 146,CA015,SUP060,43,15
P00148,Hear 147,CA015,SUP116,8,18
P00149,Worry 148,CA026,SUP075,15,19
P00150,Those 149,CA042,SUP122,33,18
P00151,Through 150,CA013,SUP107,6,17
P00152,Consumer 151,CA032,SUP096,20,9
P00153,Control 152,CA039,SUP091,43,8
P00154,Economic 153,CA049,SUP158,17,13
P00155,Person 154,CA032,SUP130,41,10
P00156,Friend 155,CA004,SUP062,21,15
P00157,Sure 156,CA030,SUP049,25,2
P00158,Sing 157,CA037,SUP137,48,11
P00159,Save 158,CA023,SUP092,23,18
P00160,Her 159,CA039,SUP159,11,18
P00161,White 160,CA045,SUP124,42,18
P00162,Perhaps 161,CA015,SUP061,12,5
P00163,Ahead 162,CA043,SUP048,17,18
P00164,Score 163,CA029,SUP153,41,19
P00165,School 164,CA036,SUP164,6,3
P00166,He 165,CA013,SUP136,45,9
P00167,Yourself 166,CA032,SUP058,15,14
P00168,Out 167,CA007,SUP101,28,16
P00169,Organization 168,CA022,SUP112,10,10
P00170,Change 169,CA028,SUP173,30,4
P00171,Order 170,CA002,SUP062,11,4
P00172,Cup 171,CA042,SUP039,43,3
P00173,Think 172,CA045,SUP058,23,2
P00174,Take 173,CA006,SUP099,10,15
P00175,Upon 174,CA028,SUP192,47,18
P00176,Mind 175,CA028,SUP044,33,14
P00177,Occur 176,CA044,SUP029,47,16
P00178,For 177,CA044,SUP059,43,15
P00179,Continue 178,CA020,SUP071,6,3
P00180,Military 179,CA030,SUP092,23,8
P00181,Always 180,CA011,SUP009,8,18
P00182,Believe 181,CA028,SUP127,10,19
P00183,Arrive 182,CA025,SUP134,41,7
P00184,Early 183,CA039,SUP157,32,9
P00185,Play 184,CA033,SUP186,34,3
P00186,Discuss 185,CA001,SUP145,11,2
P00187,Again 186,CA027,SUP144,13,17
P00188,New 187,CA013,SUP131,29,8
P00189,Mean 188,CA041,SUP021,37,12
P00190,A 189,CA003,SUP064,5,16
P00191,Glass 190,CA039,SUP090,10,14
P00192,Whose 191,CA006,SUP036,22,3
P00193,Positive 192,CA008,SUP062,14,15
P00194,Defense 193,CA027,SUP170,32,7
P00195,Sure 194,CA009,SUP076,15,10
P00196,Case 195,CA037,SUP170,37,8
P00197,Grow 196,CA033,SUP189,5,19
P00198,Series 197,CA042,SUP013,17,10
P00199,Cost 198,CA044,SUP011,41,5
P00200,Why 199,CA024,SUP054,24,10
P00201,Suffer 200,CA015,SUP016,5,5
P00202,Three 201,CA032,SUP008,7,13
P00203,Trouble 202,CA032,SUP104,22,5
P00204,Game 203,CA024,SUP059,45,15
P00205,Artist 204,CA041,SUP057,18,8
P00206,Age 205,CA049,SUP040,35,14
P00207,Choose 206,CA049,SUP187,31,9
P00208,Peace 207,CA012,SUP130,21,6
P00209,Sea 208,CA039,SUP094,33,13
P00210,Whose 209,CA002,SUP138,40,14
P00211,Change 210,CA003,SUP044,41,15
P00212,Staff 211,CA049,SUP139,30,19
P00213,Bring 212,CA037,SUP080,21,5
P00214,Throughout 213,CA049,SUP081,26,19
P00215,Never 214,CA017,SUP002,29,8
P00216,Traditional 215,CA049,SUP178,6,16
P00217,His 216,CA002,SUP140,26,7
P00218,Baby 217,CA002,SUP115,9,17
P00219,Hour 218,CA028,SUP090,8,9
P00220,Sea 219,CA023,SUP023,40,17
P00221,Year 220,CA037,SUP146,10,17
P00222,Recognize 221,CA032,SUP062,25,4
P00223,Individual 222,CA033,SUP113,17,18
P00224,Peace 223,CA001,SUP128,41,10
P00225,Blood 224,CA019,SUP062,29,4
P00226,Great 225,CA002,SUP038,30,8
P00227,Five 226,CA044,SUP195,43,19
P00228,Future 227,CA026,SUP166,24,13
P00229,Century 228,CA032,SUP195,37,17
P00230,Coach 229,CA006,SUP061,18,18
P00231,Sign 230,CA032,SUP129,40,16
P00232,Leave 231,CA004,SUP173,21,2
P00233,Strong 232,CA011,SUP156,25,3
P00234,Purpose 233,CA017,SUP149,20,9
P00235,Message 234,CA038,SUP122,20,3
P00236,Range 235,CA024,SUP110,24,10
P00237,Free 236,CA005,SUP013,33,10
P00238,Contain 237,CA034,SUP155,32,14
P00239,Second 238,CA006,SUP100,12,7
P00240,Or 239,CA022,SUP135,28,16
P00241,Rule 240,CA011,SUP022,7,16
P00242,Visit 241,CA048,SUP074,29,19
P00243,Woman 242,CA016,SUP181,23,8
P00244,Positive 243,CA033,SUP132,37,12
P00245,Stop 244,CA009,SUP023,6,9
P00246,Heavy 245,CA006,SUP119,19,7
P00247,Dog 246,CA016,SUP070,26,9
P00248,Reduce 247,CA029,SUP084,14,3
P00249,Perform 248,CA003,SUP101,22,17
P00250,Teacher 249,CA020,SUP084,26,8
P00251,Continue 250,CA036,SUP161,31,11
P00252,Human 251,CA019,SUP028,17,13
P00253,Food 252,CA026,SUP136,37,18
P00254,Similar 253,CA003,SUP001,9,8
P00255,Risk 254,CA019,SUP165,30,9
P00256,Financial 255,CA020,SUP063,17,8
P00257,Care 256,CA032,SUP022,31,5
P00258,Cost 257,CA007,SUP070,18,4
P00259,Shoulder 258,CA041,SUP125,28,16
P00260,Ability 259,CA033,SUP149,7,5
P00261,Science 260,CA040,SUP096,34,10
P00262,Page 261,CA039,SUP163,39,14
P00263,Include 262,CA018,SUP079,18,19
P00264,Today 263,CA040,SUP005,16,17
P00265,Spend 264,CA001,SUP060,32,2
P00266,Out 265,CA011,SUP120,48,5
P00267,Alone 266,CA028,SUP046,33,19
P00268,Court 267,CA025,SUP178,47,9
P00269,Play 268,CA050,SUP176,21,17
P00270,Friend 269,CA023,SUP134,44,12
P00271,Will 270,CA031,SUP056,25,19
P00272,Table 271,CA030,SUP110,27,12
P00273,Population 272,CA042,SUP187,24,4
P00274,Do 273,CA035,SUP157,15,9
P00275,Purpose 274,CA007,SUP199,38,11
P00276,Others 275,CA016,SUP104,14,17
P00277,Body 276,CA026,SUP077,14,6
P00278,Write 277,CA048,SUP146,47,10
P00279,Model 278,CA049,SUP002,10,9
P00280,Chance 279,CA002,SUP008,40,12
P00281,Glass 280,CA001,SUP075,28,17
P00282,Skill 281,CA048,SUP182,16,8
P00283,Bank 282,CA012,SUP125,47,16
P00284,Economy 283,CA005,SUP038,27,18
P00285,Hand 284,CA037,SUP176,31,7
P00286,Front 285,CA032,SUP027,49,16
P00287,Computer 286,CA009,SUP020,41,9
P00288,Provide 287,CA041,SUP140,10,8
P00289,Value 288,CA035,SUP043,5,3
P00290,Behavior 289,CA019,SUP189,10,14
P00291,Term 290,CA048,SUP031,26,7
P00292,Section 291,CA016,SUP091,45,6
P00293,Religious 292,CA003,SUP061,28,2
P00294,Purpose 293,CA020,SUP195,29,19
P00295,Shoulder 294,CA024,SUP109,19,16
P00296,Various 295,CA033,SUP091,30,11
P00297,Government 296,CA024,SUP163,12,4
P00298,Likely 297,CA011,SUP095,28,6
P00299,Activity 298,CA049,SUP143,42,14
P00300,Evidence 299,CA008,SUP144,10,9
P00301,Determine 300,CA036,SUP013,39,3
P00302,Enjoy 301,CA038,SUP113,46,10
P00303,Room 302,CA040,SUP035,5,18
P00304,Author 303,CA020,SUP187,40,19
P00305,Hard 304,CA035,SUP149,16,14
P00306,Establish 305,CA048,SUP182,42,2
P00307,Stop 306,CA025,SUP158,15,13
P00308,Box 307,CA035,SUP048,16,6
P00309,Service 308,CA025,SUP035,46,9
P00310,Ability 309,CA029,SUP086,43,16
P00311,Anything 310,CA018,SUP166,11,4
P00312,Imagine 311,CA046,SUP159,15,7
P00313,Left 312,CA018,SUP152,40,14
P00314,Significant 313,CA002,SUP114,35,13
P00315,Kind 314,CA035,SUP177,37,19
P00316,Compare 315,CA016,SUP100,17,2
P00317,Usually 316,CA041,SUP160,22,8
P00318,Job 317,CA036,SUP183,45,13
P00319,Mind 318,CA033,SUP186,28,11
P00320,Upon 319,CA004,SUP099,13,13
P00321,Human 320,CA033,SUP003,35,12
P00322,Have 321,CA014,SUP197,45,5
P00323,Office 322,CA021,SUP085,14,7
P00324,How 323,CA048,SUP125,6,10
P00325,Blood 324,CA020,SUP138,42,11
P00326,Them 325,CA008,SUP083,19,6
P00327,Measure 326,CA007,SUP025,7,14
P00328,Story 327,CA003,SUP068,47,10
P00329,Treat 328,CA017,SUP061,35,3
P00330,Participant 329,CA033,SUP029,10,19
P00331,Rather 330,CA048,SUP127,7,2
P00332,Son 331,CA012,SUP019,15,13
P00333,Right 332,CA022,SUP171,19,11
P00334,Down 333,CA022,SUP194,49,3
P00335,Commercial 334,CA046,SUP074,32,10
P00336,Live 335,CA030,SUP061,14,3
P00337,Back 336,CA038,SUP171,42,15
P00338,Successful 337,CA038,SUP153,11,12
P00339,Throughout 338,CA045,SUP020,19,12
P00340,Along 339,CA008,SUP048,22,18
P00341,Financial 340,CA027,SUP087,22,5
P00342,Again 341,CA027,SUP152,45,14
P00343,From 342,CA034,SUP139,28,8
P00344,Every 343,CA021,SUP110,6,17
P00345,Book 344,CA030,SUP183,44,2
P00346,Back 345,CA033,SUP028,24,14
P00347,Guess 346,CA028,SUP197,38,2
P00348,Conference 347,CA047,SUP191,47,12
P00349,View 348,CA033,SUP059,30,7
P00350,How 349,CA005,SUP133,11,4
P00351,College 350,CA048,SUP051,42,13
P00352,Sign 351,CA019,SUP149,34,6
P00353,Bad 352,CA004,SUP012,46,10
P00354,Officer 353,CA035,SUP050,9,13
P00355,Year 354,CA049,SUP132,15,11
P00356,Water 355,CA017,SUP113,5,6
P00357,Better 356,CA044,SUP170,38,6
P00358,Ground 357,CA028,SUP166,5,10
P00359,Phone 358,CA030,SUP153,23,18
P00360,Positive 359,CA029,SUP014,6,11
P00361,Walk 360,CA046,SUP032,25,2
P00362,Meeting 361,CA006,SUP139,24,17
P00363,Sea 362,CA035,SUP189,27,16
P00364,Allow 363,CA041,SUP146,25,18
P00365,Lawyer 364,CA037,SUP155,28,14
P00366,Yes 365,CA024,SUP055,8,2
P00367,Ready 366,CA029,SUP182,16,9
P00368,Community 367,CA049,SUP120,26,6
P00369,Policy 368,CA046,SUP075,24,7
P00370,Voice 369,CA031,SUP021,22,15
P00371,Leader 370,CA035,SUP172,5,12
P00372,Close 371,CA033,SUP133,34,7
P00373,Argue 372,CA021,SUP087,37,12
P00374,Blood 373,CA032,SUP169,28,14
P00375,Glass 374,CA023,SUP059,18,13
P00376,Describe 375,CA033,SUP089,40,3
P00377,Customer 376,CA003,SUP182,9,4
P00378,It 377,CA018,SUP150,15,5
P00379,Same 378,CA025,SUP083,28,18
P00380,Once 379,CA042,SUP065,35,7
P00381,Seven 380,CA031,SUP064,17,8
P00382,Wish 381,CA003,SUP071,20,16
P00383,Show 382,CA040,SUP004,28,12
P00384,Now 383,CA046,SUP193,17,4
P00385,Evidence 384,CA024,SUP143,28,7
P00386,Recent 385,CA050,SUP104,30,3
P00387,Father 386,CA032,SUP150,6,15
P00388,Finish 387,CA047,SUP175,20,10
P00389,Economy 388,CA022,SUP093,42,19
P00390,Big 389,CA023,SUP174,5,13
P00391,Appear 390,CA002,SUP142,15,14
P00392,Increase 391,CA027,SUP178,39,13
P00393,Owner 392,CA042,SUP148,47,13
P00394,Often 393,CA002,SUP178,33,19
P00395,Though 394,CA026,SUP112,41,10
P00396,Military 395,CA017,SUP161,21,18
P00397,Class 396,CA040,SUP119,43,17
P00398,Arm 397,CA033,SUP059,46,18
P00399,Herself 398,CA009,SUP043,32,9
P00400,About 399,CA043,SUP012,33,12
P00401,Late 400,CA048,SUP040,47,3
P00402,Begin 401,CA039,SUP118,7,9
P00403,Financial 402,CA029,SUP020,14,13
P00404,Than 403,CA042,SUP166,46,2
P00405,Recently 404,CA026,SUP131,18,14
P00406,Process 405,CA035,SUP156,16,18
P00407,Plan 406,CA050,SUP184,46,15
P00408,Media 407,CA025,SUP090,34,15
P00409,Decision 408,CA024,SUP094,36,17
P00410,Bill 409,CA013,SUP013,36,18
P00411,Agree 410,CA007,SUP066,46,7
P00412,Design 411,CA036,SUP037,36,8
P00413,Conference 412,CA045,SUP177,30,2
P00414,Pull 413,CA020,SUP066,5,16
P00415,Film 414,CA001,SUP036,46,19
P00416,Beat 415,CA008,SUP182,6,14
P00417,Material 416,CA046,SUP026,21,3
P00418,Three 417,CA016,SUP075,34,16
P00419,Business 418,CA014,SUP200,43,13
P00420,Foot 419,CA012,SUP108,11,16
P00421,Still 420,CA023,SUP168,31,19
P00422,Information 421,CA015,SUP043,13,15
P00423,Market 422,CA028,SUP150,26,7
P00424,Middle 423,CA034,SUP148,38,13
P00425,Want 424,CA002,SUP008,5,7
P00426,Recent 425,CA032,SUP029,13,10
P00427,Evidence 426,CA023,SUP040,24,5
P00428,Benefit 427,CA022,SUP158,23,18
P00429,Quality 428,CA025,SUP128,40,3
P00430,Off 429,CA022,SUP084,44,17
P00431,Impact 430,CA022,SUP116,49,15
P00432,Crime 431,CA049,SUP183,8,9
P00433,Hospital 432,CA042,SUP144,13,15
P00434,Value 433,CA006,SUP174,45,3
P00435,I 434,CA015,SUP062,26,17
P00436,Hope 435,CA043,SUP007,22,5
P00437,Culture 436,CA037,SUP045,16,2
P00438,Like 437,CA033,SUP187,46,15
P00439,Another 438,CA008,SUP184,47,9
P00440,Everyone 439,CA044,SUP176,43,4
P00441,Less 440,CA044,SUP155,13,6
P00442,Make 441,CA005,SUP181,10,7
P00443,Everyone 442,CA039,SUP088,23,9
P00444,Draw 443,CA004,SUP073,11,7
P00445,Third 444,CA006,SUP163,20,7
P00446,Exist 445,CA045,SUP179,9,5
P00447,Organization 446,CA032,SUP037,20,8
P00448,Assume 447,CA030,SUP119,5,8
P00449,City 448,CA047,SUP057,41,4
P00450,Soldier 449,CA035,SUP008,43,9
P00451,Same 450,CA040,SUP095,23,2
P00452,Region 451,CA016,SUP117,41,2
P00453,Bill 452,CA013,SUP110,21,15
P00454,Bed 453,CA050,SUP020,30,7
P00455,Relate 454,CA042,SUP124,26,11
P00456,Guy 455,CA030,SUP053,12,15
P00457,System 456,CA019,SUP119,37,5
P00458,Number 457,CA017,SUP012,6,7
P00459,Job 458,CA019,SUP177,34,17
P00460,Something 459,CA028,SUP017,24,2
P00461,Perform 460,CA026,SUP064,22,7
P00462,Dream 461,CA037,SUP042,47,10
P00463,On 462,CA026,SUP094,14,16
P00464,Ask 463,CA023,SUP157,28,13
P00465,Though 464,CA009,SUP147,8,4
P00466,Impact 465,CA012,SUP011,41,12
P00467,Tell 466,CA001,SUP098,8,16
P00468,Necessary 467,CA001,SUP178,17,4
P00469,Kid 468,CA047,SUP071,29,15
P00470,North 469,CA034,SUP108,17,3
P00471,Right 470,CA032,SUP058,22,5
P00472,Trial 471,CA048,SUP034,28,13
P00473,Would 472,CA025,SUP020,6,3
P00474,May 473,CA040,SUP050,37,18
P00475,Page 474,CA045,SUP102,23,4
P00476,Upon 475,CA001,SUP138,13,11
P00477,Eat 476,CA016,SUP160,32,17
P00478,Maybe 477,CA039,SUP052,39,10
P00479,Firm 478,CA005,SUP015,43,12
P00480,Bar 479,CA022,SUP084,14,16
P00481,Indicate 480,CA029,SUP131,5,4
P00482,Weight 481,CA003,SUP037,46,17
P00483,Too 482,CA012,SUP126,25,13
P00484,Send 483,CA026,SUP040,13,6
P00485,Already 484,CA016,SUP072,19,8
P00486,Morning 485,CA037,SUP040,39,10
P00487,Own 486,CA022,SUP056,9,19
P00488,Wear 487,CA029,SUP151,45,9
P00489,Nation 488,CA014,SUP104,26,13
P00490,Such 489,CA028,SUP139,45,3
P00491,Owner 490,CA005,SUP110,27,11
P00492,Research 491,CA047,SUP192,11,10
P00493,Pressure 492,CA049,SUP136,27,9
P00494,Choice 493,CA030,SUP093,48,2
P00495,Camera 494,CA046,SUP094,29,7
P00496,Sometimes 495,CA005,SUP056,31,13
P00497,List 496,CA012,SUP060,45,18
P00498,Consumer 497,CA016,SUP138,10,3
P00499,Computer 498,CA026,SUP039,38,12
P00500,Development 499,CA026,SUP028,13,19
P00501,System 500,CA048,SUP049,37,12
P00502,Data 501,CA021,SUP164,10,19
P00503,Card 502,CA039,SUP125,41,9
P00504,And 503,CA036,SUP013,35,16
P00505,Land 504,CA033,SUP036,38,10
P00506,Bar 505,CA030,SUP101,45,16
P00507,Result 506,CA037,SUP026,33,8
P00508,Learn 507,CA023,SUP086,18,14
P00509,Defense 508,CA010,SUP004,40,14
P00510,Test 509,CA005,SUP082,40,2
P00511,Product 510,CA036,SUP192,19,5
P00512,Choose 511,CA034,SUP166,12,5
P00513,They 512,CA031,SUP127,30,5
P00514,Physical 513,CA010,SUP088,40,14
P00515,Evening 514,CA019,SUP127,25,3
P00516,Front 515,CA032,SUP120,32,16
P00517,Whether 516,CA001,SUP022,8,5
P00518,Short 517,CA005,SUP130,20,7
P00519,Who 518,CA045,SUP031,26,4
P00520,Surface 519,CA004,SUP119,16,8
P00521,Audience 520,CA016,SUP011,20,7
P00522,Begin 521,CA024,SUP046,44,4
P00523,Important 522,CA016,SUP096,42,5
P00524,Only 523,CA002,SUP190,46,11
P00525,Industry 524,CA049,SUP197,41,10
P00526,Old 525,CA028,SUP192,33,7
P00527,Gas 526,CA032,SUP010,22,12
P00528,Tough 527,CA027,SUP168,14,8
P00529,Fact 528,CA020,SUP128,46,19
P00530,Nature 529,CA024,SUP152,43,5
P00531,Low 530,CA012,SUP099,22,6
P00532,Whose 531,CA050,SUP172,5,5
P00533,Tv 532,CA035,SUP112,43,5
P00534,Actually 533,CA033,SUP060,25,14
P00535,Stop 534,CA033,SUP190,5,17
P00536,School 535,CA043,SUP087,19,15
P00537,Price 536,CA037,SUP145,8,12
P00538,People 537,CA012,SUP065,24,3
P00539,Necessary 538,CA003,SUP057,14,15
P00540,Station 539,CA001,SUP183,27,8
P00541,Kind 540,CA033,SUP106,45,12
P00542,Budget 541,CA040,SUP181,38,5
P00543,Join 542,CA010,SUP184,37,8
P00544,Citizen 543,CA043,SUP009,38,17
P00545,Choose 544,CA044,SUP022,43,7
P00546,Our 545,CA029,SUP141,14,7
P00547,Per 546,CA013,SUP089,24,3
P00548,Pass 547,CA012,SUP176,5,9
P00549,Son 548,CA031,SUP018,17,8
P00550,Yard 549,CA046,SUP115,5,15
P00551,Black 550,CA002,SUP168,9,10
P00552,Wish 551,CA050,SUP145,20,16
P00553,Born 552,CA035,SUP143,19,19
P00554,Order 553,CA023,SUP106,32,13
P00555,State 554,CA017,SUP015,35,14
P00556,Blood 555,CA026,SUP063,27,8
P00557,Stock 556,CA008,SUP167,49,11
P00558,Feeling 557,CA029,SUP013,47,11
P00559,Trip 558,CA026,SUP081,21,3
P00560,North 559,CA010,SUP032,38,15
P00561,Up 560,CA026,SUP137,17,14
P00562,Guy 561,CA034,SUP040,18,7
P00563,Understand 562,CA041,SUP148,15,10
P00564,Item 563,CA007,SUP082,32,14
P00565,Everything 564,CA004,SUP077,46,10
P00566,Identify 565,CA050,SUP191,36,14
P00567,Real 566,CA045,SUP076,39,6
P00568,Mention 567,CA011,SUP172,35,15
P00569,Owner 568,CA029,SUP038,21,6
P00570,Politics 569,CA036,SUP188,13,10
P00571,Material 570,CA025,SUP071,14,9
P00572,Always 571,CA021,SUP048,12,8
P00573,Consider 572,CA036,SUP018,25,9
P00574,Fact 573,CA010,SUP144,17,4
P00575,Interesting 574,CA037,SUP183,9,16
P00576,Charge 575,CA009,SUP039,10,9
P00577,Present 576,CA024,SUP196,34,2
P00578,Politics 577,CA035,SUP187,35,8
P00579,Responsibility 578,CA049,SUP089,21,3
P00580,Rule 579,CA035,SUP062,15,15
P00581,Interest 580,CA048,SUP141,24,19
P00582,American 581,CA036,SUP109,13,16
P00583,Individual 582,CA018,SUP081,6,15
P00584,Visit 583,CA049,SUP134,41,18
P00585,Until 584,CA039,SUP077,5,17
P00586,Glass 585,CA032,SUP188,8,2
P00587,Rock 586,CA024,SUP090,40,8
P00588,Economy 587,CA023,SUP014,29,12
P00589,Appear 588,CA032,SUP095,7,6
P00590,Skill 589,CA037,SUP054,13,18
P00591,May 590,CA012,SUP132,26,12
P00592,Wife 591,CA049,SUP039,27,9
P00593,Exist 592,CA013,SUP072,16,11
P00594,Watch 593,CA023,SUP025,14,13
P00595,Hotel 594,CA025,SUP077,38,11
P00596,Again 595,CA035,SUP160,47,14
P00597,Green 596,CA041,SUP187,14,19
P00598,Television 597,CA030,SUP191,34,11
P00599,Student 598,CA017,SUP166,26,18
P00600,Floor 599,CA049,SUP120,10,17
P00601,Foreign 600,CA020,SUP053,6,6
P00602,Fast 601,CA048,SUP195,34,4
P00603,Threat 602,CA025,SUP156,6,16
P00604,Million 603,CA022,SUP131,36,3
P00605,Toward 604,CA013,SUP150,46,14
P00606,Safe 605,CA019,SUP096,20,9
P00607,Reveal 606,CA049,SUP166,16,18
P00608,Billion 607,CA036,SUP200,5,5
P00609,Trouble 608,CA012,SUP072,12,10
P00610,Drive 609,CA041,SUP062,17,16
P00611,Center 610,CA019,SUP185,19,10
P00612,First 611,CA012,SUP006,48,10
P00613,Six 612,CA009,SUP032,12,15
P00614,Level 613,CA007,SUP099,14,17
P00615,Staff 614,CA028,SUP138,9,18
P00616,That 615,CA014,SUP131,23,14
